week,job_title_raw,job_title_clean,company,location,seek_domain,seek_work_nature,seek_seniority,seek_confidence,mapper_domain,mapper_work_nature,mapper_seniority,mapper_confidence_pct,matched_keywords,flags,needs_review,domain_match
2026_W15,Intermediate Technical Business Analyst (AI / dev background),Intermediate Technical Business Analyst,Sunstone Talent,"Christchurch Central, Canterbury",Planning,Specialist / Support,2. Intermediate / Staff,High,Planning,Specialist / Support,4. Expert / Specialist,80,business analyst,Description is short — output is based mainly on title text,,✓
2026_W15,Senior Financial Systems Accountant,Senior Financial Systems Accountant,Todd Group,"Auckland CBD, Auckland",IT Support,Specialist / Support,2. Intermediate / Staff,Medium,Finance,Specialist / Support,3. Senior / Professional,62,accountant,Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Customer Service and Logistics Lead NZ,Customer Service and Logistics Lead NZ,Mondelez International,"Avondale, Auckland",Operations,Specialist / Support,2. Intermediate / Staff,Medium,Sales,Specialist / Support,2. Intermediate / Staff,80,customer service,Description is short — output is based mainly on title text | Cross-functional signal: Customer Service + Logistics — role scope may be broad,Yes,✗ DIFF
2026_W15,Operations Support Administrator,Operations Support Administrator,Johnson Controls,"Christchurch Central, Canterbury",Operations,Specialist / Support,2. Intermediate / Staff,Medium,Operations,Specialist / Support,2. Intermediate / Staff,80,operations support,Description is short — output is based mainly on title text,,✓
2026_W15,Accounts Payable Officer,Accounts Payable Officer,Poulter Group,"Manukau, Auckland",Finance,Specialist / Support,2. Intermediate / Staff,High,Finance,Specialist / Support,2. Intermediate / Staff,88,"accounts payable, accounts",Description is short — output is based mainly on title text,,✓
2026_W15,Sales Support Administrator,Sales Support Administrator,Safety 'n Action,"Albany, Auckland",Operations,Specialist / Support,2. Intermediate / Staff,Medium,Sales,Specialist / Support,2. Intermediate / Staff,72,sales,Description is short — output is based mainly on title text,,✗ DIFF
2026_W15,Manager – S&OP Planning,Manager,Milkio Foods Limited,"Hamilton Central, Waikato",Planning,Management,4. Expert / Specialist,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Operations Administrator,Operations Administrator,Poutiri Trust,"Te Puke, Bay of Plenty",Operations,Specialist / Support,2. Intermediate / Staff,Medium,Operations,Specialist / Support,2. Intermediate / Staff,80,operations administrator,Description is short — output is based mainly on title text,,✓
2026_W15,Sales & Customer Service Executive 30 hours p/w,Sales & Customer Service Executive 30 hours p/w,Freedom Health Group Ltd,"Christchurch Central, Canterbury",Sales,Management,5. Executive / Strategic,Medium,Sales,Management,5. Executive / Strategic,88,"customer service, sales",Description is short — output is based mainly on title text,,✓
2026_W15,Academic Operations Coordinator,Academic Operations Coordinator,New Zealand College of Chiropractic,"Mount Wellington, Auckland",Operations,Operational,2. Intermediate / Staff,Medium,Operations,Operational,2. Intermediate / Staff,80,operations coordinator,Description is short — output is based mainly on title text,,✓
2026_W15,Enterprise Account Manager,Enterprise Account Manager,EROAD Limited,"Christchurch Central, Canterbury",Pending Review,Management,4. Expert / Specialist,Medium,Sales,Management,4. Expert / Specialist,80,account manager,Description is short — output is based mainly on title text,,✗ DIFF
2026_W15,Digital Marketing Specialist,Digital Marketing Specialist,Herd-i Operations Limited,"Christchurch Central, Canterbury",Pending Review,Specialist / Support,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,E-Commerce & Digital Operations Assistant (Execution-Focused Role),E-Commerce & Digital Operations Assistant,Lifestyle Focus Limited,"Silverdale, Auckland",Operations,Specialist / Support,1. Junior / Entry,High,Operations,Operational,1. Junior / Entry,72,e-commerce,Description is short — output is based mainly on title text,,✓
2026_W15,Operations Manager - Roofing,Operations Manager,Impact Roofing Solutions,"Auckland CBD, Auckland",Operations,Management,4. Expert / Specialist,High,Operations,Management,4. Expert / Specialist,80,operations manager,Description is short — output is based mainly on title text,,✓
2026_W15,Digital Operations Specialist,Digital Operations Specialist,New Zealand Centre of Digital Excellence Limited,"Dunedin Central, Otago",Operations,Specialist / Support,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Production Supervisor Estimating and Invoicing,Production Supervisor Estimating and Invoicing,Perfect Panel and Paint Limited,"Takanini, Auckland",Operations,Operational,2. Intermediate / Staff,High,Operations,Operational,2. Intermediate / Staff,72,production,Description is short — output is based mainly on title text,,✓
2026_W15,Client Relations Specialist,Client Relations Specialist,Badges and Medals Ltd,"Blenheim Central, Marlborough",Pending Review,Specialist / Support,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Intermediate Full Stack Engineer,Intermediate Full Stack Engineer,EngineeringX Limited,"Newmarket, Auckland",Operations,Specialist / Support,2. Intermediate / Staff,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Salesforce Business Analyst,Salesforce Business Analyst,Walker Smith,"Auckland CBD, Auckland",Planning,Specialist / Support,4. Expert / Specialist,High,Planning,Specialist / Support,4. Expert / Specialist,80,business analyst,Description is short — output is based mainly on title text,,✓
2026_W15,Store + Operations Manager / Retail + Production Assistant | Arrowtown,Store + Operations Manager,LucyKing Limited,"Arrowtown, Otago",Operations,Management,4. Expert / Specialist,Medium,Operations,Management,4. Expert / Specialist,80,operations manager,Description is short — output is based mainly on title text,,✓
2026_W15,Commercial Financial Advisor,Commercial Financial Advisor,Finance Link,"Auckland CBD, Auckland",Pending Review,Specialist / Support,2. Intermediate / Staff,High,Sales,Specialist / Support,2. Intermediate / Staff,72,commercial,Description is short — output is based mainly on title text,,✗ DIFF
2026_W15,Office Manager,Office Manager,Gilbert Sheetmetal & Engineering Limited,"Glendene, Auckland",Business Administration,Management,4. Expert / Specialist,High,Business Administration,Management,4. Expert / Specialist,80,office manager,Description is short — output is based mainly on title text,,✓
2026_W15,QA Engineer,QA Engineer,EngineeringX Limited,"Newmarket, Auckland",Operations,Specialist / Support,2. Intermediate / Staff,High,Operations,Specialist / Support,2. Intermediate / Staff,72,qa,Description is short — output is based mainly on title text,,✓
2026_W15,Migration Coordinator,Migration Coordinator,Absolute Immigration,"Takapuna, Auckland",Operations,Operational,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Product Manager - Food & Nutrition,Product Manager,Azelis New Zealand,"Auckland CBD, Auckland",Pending Review,Management,4. Expert / Specialist,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Dispatch Coordinator,Dispatch Coordinator,Trade Depot Ltd,"Riccarton, Canterbury",Transport,Operational,2. Intermediate / Staff,Medium,Transport,Operational,2. Intermediate / Staff,88,"dispatch coordinator, dispatch",Description is short — output is based mainly on title text,,✓
2026_W15,Bike Builder - Auckland,Bike Builder,99 Bikes New Zealand,"Glen Innes, Auckland",Pending Review,Operational,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Team Leader - Morning Shift,Team Leader,Griffin's Snacks,"Papakura, Auckland",Pending Review,Operational,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Wool Scourer / Processing Operator,Wool Scourer,EQUIP Recruitment,"Hastings Central, Hawkes Bay",Operations,Operational,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Customer Service Team Leader,Customer Service Team Leader,Aioi Nissay Dowa NZ,"Ellerslie, Auckland",Sales,Specialist / Support,2. Intermediate / Staff,Medium,Sales,Specialist / Support,3. Senior / Professional,80,customer service,Description is short — output is based mainly on title text,,✓
2026_W15,E-Commerce & Digital Marketer,E-Commerce & Digital Marketer,STONEY CREEK (EST 1994) LIMITED,"Tauranga Central, Bay of Plenty",Pending Review,Operational,2. Intermediate / Staff,Medium,Operations,Operational,2. Intermediate / Staff,72,e-commerce,Description is short — output is based mainly on title text,,✗ DIFF
2026_W15,Business Manager - Primary Care,Business Manager,Phoenix Healthcare Group,"Christchurch Central, Canterbury",Pending Review,Management,4. Expert / Specialist,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,People & Culture Coordinator,People & Culture Coordinator,IKEA Sylvia Park,"Mount Wellington, Auckland",Pending Review,Operational,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Machine Operator,Machine Operator,Laminex NZ,"Pukete, Waikato",Operations,Operational,2. Intermediate / Staff,Medium,Operations,Operational,2. Intermediate / Staff,72,operator,Description is short — output is based mainly on title text,,✓
2026_W15,PLASTIC Material TECHNICIAN & a Plastic Powderman,PLASTIC Material TECHNICIAN & a Plastic Powderman,Insight Recruitment,"Waitakere & West Auckland, Auckland",Operations,Operational,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,COO/Director of Operations/2iC,COO/Director of Operations/2iC,Eastbay REAP,"Whakatane, Bay of Plenty",Operations,Management,5. Executive / Strategic,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Superstar Guest Experience Manager,Superstar Guest Experience Manager,Quinovic Viaduct,"Auckland CBD, Auckland",Pending Review,Management,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Duty manager/Floor manager,Duty manager/Floor manager,Longroom,"Ponsonby, Auckland",Pending Review,Management,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Chief Executive,Chief Executive,Brannigans Consulting Limited,"Auckland CBD, Auckland",Pending Review,Management,5. Executive / Strategic,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Bar manager,Bar manager,Longroom,"Ponsonby, Auckland",Planning,Management,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Travel Designer,Travel Designer,PPG,"Auckland CBD, Auckland",Pending Review,Operational,2. Intermediate / Staff,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Intermediate to Senior Level Mechanical Engineer (Design / Projects),Intermediate to Senior Level Mechanical Engineer,Caliber Design Ltd.,"Hamilton Central, Waikato",Operations,Specialist / Support,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Commercial Analyst| Auckland,Commercial Analyst| Auckland,George Weston Foods (NZ) Limited,"Ellerslie, Auckland",Pending Review,Specialist / Support,4. Expert / Specialist,Medium,Sales,Specialist / Support,4. Expert / Specialist,72,commercial,Description is short — output is based mainly on title text,,✗ DIFF
2026_W15,Intermediate Accountant (Public Practice),Intermediate Accountant,ExpertEase Limited,"Cambridge, Waikato",Finance,Specialist / Support,2. Intermediate / Staff,High,Finance,Specialist / Support,2. Intermediate / Staff,72,accountant,Description is short — output is based mainly on title text,,✓
2026_W15,Data & Analytics Senior Consultant (Snowflake/DBT),Data & Analytics Senior Consultant,Datacom,"Christchurch Central, Canterbury",Planning,Specialist / Support,3. Senior / Professional,Medium,Planning,Specialist / Support,4. Expert / Specialist,74,analytics,Description is short — output is based mainly on title text,,✓
2026_W15,Technical Lead (Manager) - Software Product,Technical Lead,Talent Army,"Auckland CBD, Auckland",Pending Review,Management,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Senior Payroll Officer,Senior Payroll Officer,Phoenix Healthcare Group,"Christchurch Central, Canterbury",Finance,Specialist / Support,2. Intermediate / Staff,Medium,Finance,Specialist / Support,3. Senior / Professional,72,payroll,Description is short — output is based mainly on title text,,✓
2026_W15,Technical Support Lead,Technical Support Lead,Brightly,"Auckland CBD, Auckland",IT Support,Specialist / Support,2. Intermediate / Staff,Medium,IT Support,Specialist / Support,2. Intermediate / Staff,80,technical support,Description is short — output is based mainly on title text,,✓
2026_W15,Senior BAS Accountant,Senior BAS Accountant,Onboard Accounting Limited,"Auckland CBD, Auckland",Finance,Specialist / Support,2. Intermediate / Staff,High,Finance,Specialist / Support,3. Senior / Professional,72,accountant,Description is short — output is based mainly on title text,,✓
2026_W15,Regional Sales Manager / BDM,Regional Sales Manager,CB Consulting,Waikato,Sales,Management,4. Expert / Specialist,Medium,Sales,Management,4. Expert / Specialist,88,"sales manager, sales",Description is short — output is based mainly on title text,,✓
2026_W15,Showroom & Office Coordinator (Part time),Showroom & Office Coordinator,Wayne Bishop Group Ltd,"Levin, Manawatu",Operations,Operational,2. Intermediate / Staff,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Retail Manager,Retail Manager,Glowing Sky,"Wanaka, Otago",Pending Review,Management,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,retail,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Retail Sales Specialists - Fashion,Retail Sales Specialists,Private Advertiser,"Mount Maunganui, Bay of Plenty",Sales,Specialist / Support,2. Intermediate / Staff,Medium,Sales,Specialist / Support,3. Senior / Professional,72,sales,Description is short — output is based mainly on title text,,✓
2026_W15,Branch Manager,Branch Manager,Johnson Controls,"Hamilton Central, Waikato",Operations,Management,4. Expert / Specialist,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Commercial Procurement Manager (Fixed Term till December 2026),Commercial Procurement Manager,Madison Recruitment Limited,"Wellington Central, Wellington",Planning,Management,4. Expert / Specialist,Medium,Planning,Management,4. Expert / Specialist,62,procurement,Description is short — output is based mainly on title text,Yes,✓
2026_W15,Retail/Shop Manager,Retail/Shop Manager,Hetties Rock and Crystal Shop,"Queenstown, Otago",Pending Review,Management,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,retail,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Full-Time Food and Beverage Attendant / Duty Manager,Full-Time Food and Beverage Attendant,The Godley Hotel,"Lake Tekapo, Canterbury",Pending Review,Management,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Manufacturing Finance Business Partner,Manufacturing Finance Business Partner,Laminex NZ,"Rotokawa, Waikato",Finance,Specialist / Support,2. Intermediate / Staff,Medium,Finance,Specialist / Support,2. Intermediate / Staff,72,finance,Description is short — output is based mainly on title text,,✓
2026_W15,Product Specialist - Roche Diagnostics Solutions,Product Specialist,Roche Diagnostics New Zealand,"Auckland CBD, Auckland",Pending Review,Specialist / Support,4. Expert / Specialist,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Metro curtainsider Class 2,Metro curtainsider Class 2,hamburger transport,"Christchurch Central, Canterbury",Pending Review,Operational,2. Intermediate / Staff,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,COOK,COOK,PEOPLE LIKE US LTD,"Arrowtown, Otago",Pending Review,Operational,2. Intermediate / Staff,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Restaurant & Bar Manager,Restaurant & Bar Manager,Private Advertiser,"Paeroa, Waikato",Planning,Management,4. Expert / Specialist,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Restaurant Manager,Restaurant Manager,Alondo MK Limited,"Dunedin Central, Otago",Pending Review,Management,4. Expert / Specialist,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Chief Executive,Chief Executive,Brannigans Consulting Limited,"Christchurch Central, Canterbury",Pending Review,Management,5. Executive / Strategic,Medium,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
2026_W15,Head of Structured Recoveries,Head of Structured Recoveries,KINGS RECRUITMENT LTD,"Avondale, Auckland",Pending Review,Management,5. Executive / Strategic,High,Other/Noise,Review Required,Review Required,30,,Title does not match a known logistics domain — verify before use | Description is short — output is based mainly on title text,Yes,✗ DIFF
